Delivery report: PLS;;;;;;;;;;;;;;;;;;;
Delivery Date;;Tour Number;;Ordernr;;Item Number;;;;Order. Qty;Act. Qty;;Verzenddat. order;;;;;;
20-12-2011;;OUT0000025;;20111553;4;IVA-SRM-195-195-A;;;;12,00;12,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;5;IVA-SRM-215-150-A;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;6;IVA-SRM-370-40-A;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;7;IVA-SRG-500-400-A;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;8;IVA-KVV-125-W;;;;8,00;8,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;9;IVA-KDR-455-90-W;;;;48,00;48,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;10;IVA-SUA-100;;;;4,00;4,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;11;IVA-FKS-125-1500;;;;3,00;3,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;12;IVA-DT;;;;4,00;4,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111555;1;IVA-SUA-100;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111555;2;IVA-KDR-455-90-W;;;;12,00;12,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111555;3;IVA-KVV-125-W;;;;24,00;24,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111555;4;IVA-SRM-130-90-A;;;;6,00;6,00;;20-12-2011;;;;;;
23-12-2011;;;;;;;;;;;;;Page -1 of 1;;;;;;Page -1 of 1
